Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Phosphatidylinositol signaling system,74/97,1.7543726015339803e-124,3.3859391209605816e-122,0,0,356.5339521250611,101597.35888668858,DGKG;PI4K2B;CALML5;CALML6;DGKA;MTMR14;INPPL1;PTEN;PIK3CD;CALML3;PIK3C2G;CALML4;PIK3CB;PIK3C2A;PIK3C2B;PIP4P2;PIP4P1;PLCZ1;PIP4K2A;PLCE1;PIP4K2B;PIP4K2C;PRKCG;PRKCB;IPMK;OCRL;PRKCA;DGKZ;INPP4A;INPP4B;PLCB3;PLCB4;PIK3CA;DGKQ;ITPKA;PIK3C3;PLCB1;PLCB2;PI4K2A;MTMR1;MTMR2;MTMR3;INPP1;ITPR1;MTMR8;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;MTMR4;MTMR6;MTM1;MTMR7;INPP5B;INPP5A;INPP5F;INPP5D;INPP5E;PLCG2;PIP5K1A;PIP5K1B;PIP5K1C;PLCG1;CDIPT;SYNJ2;PIKFYVE;SYNJ1;PI4KA;CALM3;PI4KB;PLCD3;PLCD4;PLCD1
GO_Biological_Process_2021,Phosphatidylinositol signaling system,74/97,1.7543726015339803e-124,3.3859391209605816e-122,0,0,356.5339521250611,101597.35888668858,DGKG;PI4K2B;CALML5;CALML6;DGKA;MTMR14;INPPL1;PTEN;PIK3CD;CALML3;PIK3C2G;CALML4;PIK3CB;PIK3C2A;PIK3C2B;PIP4P2;PIP4P1;PLCZ1;PIP4K2A;PLCE1;PIP4K2B;PIP4K2C;PRKCG;PRKCB;IPMK;OCRL;PRKCA;DGKZ;INPP4A;INPP4B;PLCB3;PLCB4;PIK3CA;DGKQ;ITPKA;PIK3C3;PLCB1;PLCB2;PI4K2A;MTMR1;MTMR2;MTMR3;INPP1;ITPR1;MTMR8;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;MTMR4;MTMR6;MTM1;MTMR7;INPP5B;INPP5A;INPP5F;INPP5D;INPP5E;PLCG2;PIP5K1A;PIP5K1B;PIP5K1C;PLCG1;CDIPT;SYNJ2;PIKFYVE;SYNJ1;PI4KA;CALM3;PI4KB;PLCD3;PLCD4;PLCD1
GO_Biological_Process_2021,Inositol phosphate metabolism,59/73,1.777786569178183e-101,1.7155640392569466e-99,0,0,430.9052553663952,99963.8682027652,PI4K2B;MTMR14;INPPL1;PTEN;PIK3CD;PIK3C2G;PIK3CB;PIK3C2A;PIK3CG;PIK3C2B;PLCZ1;PIP5KL1;PIP4K2A;PLCE1;PIP4K2B;PIP4K2C;IPMK;OCRL;INPP4A;INPP4B;MINPP1;PLCB3;PLCB4;PIK3CA;ITPKA;PIK3C3;PLCB1;PLCB2;PI4K2A;MTMR1;MTMR2;MTMR3;INPP1;MTMR8;MTMR4;MTMR6;MTM1;MTMR7;INPP5B;INPP5A;INPP5F;INPP5D;INPP5E;PLCG2;PIP5K1A;PIP5K1B;PIP5K1C;PLCG1;CDIPT;SYNJ2;PIKFYVE;SYNJ1;PI4KA;PLCH1;PI4KB;PLCH2;PLCD3;PLCD4;PLCD1
KEGG_2021_Human,Inositol phosphate metabolism,59/73,1.777786569178183e-101,1.7155640392569466e-99,0,0,430.9052553663952,99963.8682027652,PI4K2B;MTMR14;INPPL1;PTEN;PIK3CD;PIK3C2G;PIK3CB;PIK3C2A;PIK3CG;PIK3C2B;PLCZ1;PIP5KL1;PIP4K2A;PLCE1;PIP4K2B;PIP4K2C;IPMK;OCRL;INPP4A;INPP4B;MINPP1;PLCB3;PLCB4;PIK3CA;ITPKA;PIK3C3;PLCB1;PLCB2;PI4K2A;MTMR1;MTMR2;MTMR3;INPP1;MTMR8;MTMR4;MTMR6;MTM1;MTMR7;INPP5B;INPP5A;INPP5F;INPP5D;INPP5E;PLCG2;PIP5K1A;PIP5K1B;PIP5K1C;PLCG1;CDIPT;SYNJ2;PIKFYVE;SYNJ1;PI4KA;PLCH1;PI4KB;PLCH2;PLCD3;PLCD4;PLCD1
KEGG_2021_Human,Rap1 signaling pathway,62/210,1.6154207669045404e-68,1.0392540267085876e-66,0,0,43.21479374110953,6745.664691963708,ITGB1;CALML5;CALML6;CTNND1;PIK3CD;CALML3;CALML4;PIK3CB;CRKL;RAC2;PLCE1;RAC3;RAC1;HRAS;PRKCG;VAV3;MAGI1;PRKCI;PRKCB;MAGI3;MAGI2;PRKCA;RHOA;VAV1;VAV2;TIAM1;PLCB3;MRAS;PLCB4;PIK3CA;PARD3;RAPGEF1;RAPGEF2;LCP2;PLCB1;RAF1;PLCB2;CRK;SRC;GNAI3;PIK3R3;PARD6G;PIK3R2;PIK3R1;PRKCZ;GNAI1;GNAI2;RAP1B;CDC42;NRAS;PARD6B;RAP1A;PARD6A;RRAS;PLCG1;BRAF;AFDN;GNAQ;CALM3;KRAS;LAT;BCAR1
GO_Biological_Process_2021,Rap1 signaling pathway,62/210,1.6154207669045404e-68,1.0392540267085876e-66,0,0,43.21479374110953,6745.664691963708,ITGB1;CALML5;CALML6;CTNND1;PIK3CD;CALML3;CALML4;PIK3CB;CRKL;RAC2;PLCE1;RAC3;RAC1;HRAS;PRKCG;VAV3;MAGI1;PRKCI;PRKCB;MAGI3;MAGI2;PRKCA;RHOA;VAV1;VAV2;TIAM1;PLCB3;MRAS;PLCB4;PIK3CA;PARD3;RAPGEF1;RAPGEF2;LCP2;PLCB1;RAF1;PLCB2;CRK;SRC;GNAI3;PIK3R3;PARD6G;PIK3R2;PIK3R1;PRKCZ;GNAI1;GNAI2;RAP1B;CDC42;NRAS;PARD6B;RAP1A;PARD6A;RRAS;PLCG1;BRAF;AFDN;GNAQ;CALM3;KRAS;LAT;BCAR1
KEGG_2021_Human,Chemokine signaling pathway,56/192,2.171078294285502e-61,1.047545276992755e-59,0,0,41.20168067226891,5755.152389258469,ITK;PIK3CD;PIK3CB;PIK3CG;CRKL;PREX1;RAC2;RAC3;RAC1;HRAS;VAV3;PRKCB;PRKCD;RHOA;VAV1;VAV2;FGR;TIAM1;HCK;PLCB3;PLCB4;PIK3CA;PARD3;RAF1;PLCB1;SOS1;CRK;PLCB2;SOS2;ROCK1;SHC1;SRC;PXN;GNAI3;WAS;PIK3R3;PIK3R2;PIK3R1;PRKCZ;PIK3R6;GNAI1;PIK3R5;GNAI2;RAP1B;CDC42;NRAS;RAP1A;PLCG2;PLCG1;LYN;BRAF;PTK2;GNAQ;GRB2;KRAS;BCAR1
GO_Biological_Process_2021,Chemokine signaling pathway,56/192,2.171078294285502e-61,1.047545276992755e-59,0,0,41.20168067226891,5755.152389258469,ITK;PIK3CD;PIK3CB;PIK3CG;CRKL;PREX1;RAC2;RAC3;RAC1;HRAS;VAV3;PRKCB;PRKCD;RHOA;VAV1;VAV2;FGR;TIAM1;HCK;PLCB3;PLCB4;PIK3CA;PARD3;RAF1;PLCB1;SOS1;CRK;PLCB2;SOS2;ROCK1;SHC1;SRC;PXN;GNAI3;WAS;PIK3R3;PIK3R2;PIK3R1;PRKCZ;PIK3R6;GNAI1;PIK3R5;GNAI2;RAP1B;CDC42;NRAS;RAP1A;PLCG2;PLCG1;LYN;BRAF;PTK2;GNAQ;GRB2;KRAS;BCAR1
GO_Biological_Process_2021,Focal adhesion,51/201,2.4333778297049e-52,9.392838422660917e-51,0,0,33.15084577114428,3939.817055643686,ITGB1;PTEN;ILK;PIK3CD;LAMC2;PIK3CB;CRKL;RAC2;RAC3;RAC1;HRAS;PRKCG;VAV3;PRKCB;PDPK1;ACTN1;ITGA2;PRKCA;ACTN4;RHOA;VAV1;VAV2;PIK3CA;RAPGEF1;RAF1;SOS1;CRK;DOCK1;SOS2;VCL;ROCK1;SHC1;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;RAP1B;CDC42;RAP1A;PIP5K1A;PIP5K1B;FYN;PIP5K1C;CAV3;CAV2;CAV1;BRAF;PTK2;GRB2;BCAR1
KEGG_2021_Human,Focal adhesion,51/201,2.4333778297049e-52,9.392838422660917e-51,0,0,33.15084577114428,3939.817055643686,ITGB1;PTEN;ILK;PIK3CD;LAMC2;PIK3CB;CRKL;RAC2;RAC3;RAC1;HRAS;PRKCG;VAV3;PRKCB;PDPK1;ACTN1;ITGA2;PRKCA;ACTN4;RHOA;VAV1;VAV2;PIK3CA;RAPGEF1;RAF1;SOS1;CRK;DOCK1;SOS2;VCL;ROCK1;SHC1;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;RAP1B;CDC42;RAP1A;PIP5K1A;PIP5K1B;FYN;PIP5K1C;CAV3;CAV2;CAV1;BRAF;PTK2;GRB2;BCAR1
KEGG_2021_Human,Regulation of actin cytoskeleton,52/218,7.682480116788548e-52,2.471197770900316e-50,0,0,30.670602409638555,3609.791346370562,ITGB1;PIK3CD;WASL;PIK3CB;CRKL;RAC2;PIP4K2A;RAC3;PIP4K2B;PIP4K2C;RAC1;HRAS;VAV3;ACTN1;ITGA2;INSRR;RRAS2;ACTN4;RHOA;VAV1;VAV2;TIAM1;MRAS;PIK3CA;EZR;ARHGEF7;RAF1;SOS1;CRK;DOCK1;SOS2;VCL;ARHGEF6;ROCK1;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;CDC42;NRAS;RRAS;PIP5K1A;PIP5K1B;PIP5K1C;MSN;BRAF;BAIAP2;PTK2;PIKFYVE;KRAS;BCAR1
GO_Biological_Process_2021,Regulation of actin cytoskeleton,52/218,7.682480116788548e-52,2.471197770900316e-50,0,0,30.670602409638555,3609.791346370562,ITGB1;PIK3CD;WASL;PIK3CB;CRKL;RAC2;PIP4K2A;RAC3;PIP4K2B;PIP4K2C;RAC1;HRAS;VAV3;ACTN1;ITGA2;INSRR;RRAS2;ACTN4;RHOA;VAV1;VAV2;TIAM1;MRAS;PIK3CA;EZR;ARHGEF7;RAF1;SOS1;CRK;DOCK1;SOS2;VCL;ARHGEF6;ROCK1;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;CDC42;NRAS;RRAS;PIP5K1A;PIP5K1B;PIP5K1C;MSN;BRAF;BAIAP2;PTK2;PIKFYVE;KRAS;BCAR1
GO_Biological_Process_2021,Proteoglycans in cancer,49/205,7.340892321256503e-49,2.0239888828607216e-47,0,0,30.31476569407604,3359.8827665598665,ITGB1;PIK3CD;PIK3CB;PLCE1;RAC1;HRAS;PRKCG;VAV3;PRKCB;PDPK1;ITGA2;GAB1;RRAS2;PRKCA;RHOA;VAV1;VAV2;TIAM1;MRAS;PIK3CA;EZR;RAF1;SOS1;SOS2;ROCK1;SRC;PXN;ITPR1;PIK3R3;ITPR2;PIK3R2;ITPR3;PIK3R1;CBL;CDC42;NRAS;RRAS;PLCG2;PLCG1;CAV3;CAV2;CAV1;MSN;BRAF;PTPN11;PTK2;GRB2;KRAS;PTPN6
KEGG_2021_Human,Proteoglycans in cancer,49/205,7.340892321256503e-49,2.0239888828607216e-47,0,0,30.31476569407604,3359.8827665598665,ITGB1;PIK3CD;PIK3CB;PLCE1;RAC1;HRAS;PRKCG;VAV3;PRKCB;PDPK1;ITGA2;GAB1;RRAS2;PRKCA;RHOA;VAV1;VAV2;TIAM1;MRAS;PIK3CA;EZR;RAF1;SOS1;SOS2;ROCK1;SRC;PXN;ITPR1;PIK3R3;ITPR2;PIK3R2;ITPR3;PIK3R1;CBL;CDC42;NRAS;RRAS;PLCG2;PLCG1;CAV3;CAV2;CAV1;MSN;BRAF;PTPN11;PTK2;GRB2;KRAS;PTPN6
