#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAMP	EGFR	9606.ENSP00000403343	9606.ENSP00000275493	0	0	0	0	0.047	0.130	0.900	0.102	0.915
ABL1	MAPK1	9606.ENSP00000361423	9606.ENSP00000215832	0	0	0	0.588	0.064	0.110	0	0.695	0.724
ABL1	STUB1	9606.ENSP00000361423	9606.ENSP00000219548	0	0	0	0	0.055	0.636	0	0.398	0.775
ABL1	CCND1	9606.ENSP00000361423	9606.ENSP00000227507	0	0	0	0	0.067	0	0.400	0.577	0.742
ABL1	CDKN1B	9606.ENSP00000361423	9606.ENSP00000228872	0	0	0	0	0.086	0.296	0.400	0.420	0.746
ABL1	DOK1	9606.ENSP00000361423	9606.ENSP00000233668	0	0	0	0	0	0.795	0	0.693	0.934
ABL1	RAC2	9606.ENSP00000361423	9606.ENSP00000249071	0	0	0	0	0.086	0.110	0.900	0.353	0.940
ABL1	KRAS	9606.ENSP00000361423	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0	0.669	0.703
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0.097	0.098	0.400	0.511	0.729
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0	0	0	0	0.628	0	0.732	0.896
ABL1	PIK3C3	9606.ENSP00000361423	9606.ENSP00000262039	0	0	0	0	0	0.053	0	0.947	0.947
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	CBL	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0.063	0.896	0.900	0.685	0.996
ABL1	SHC2	9606.ENSP00000361423	9606.ENSP00000264554	0	0	0	0.554	0.042	0.073	0.900	0.086	0.908
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.049	0.736	0.900	0.312	0.980
ABL1	PXN	9606.ENSP00000361423	9606.ENSP00000267257	0	0	0	0	0.080	0.091	0	0.718	0.744
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.591	0.049	0.615	0	0.325	0.731
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.900	0.145	0.910
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.820	0.750	0.774	0.988
ABL1	STAT5B	9606.ENSP00000361423	9606.ENSP00000293328	0	0	0	0	0.065	0.439	0.900	0.727	0.983
ABL1	NPM1	9606.ENSP00000361423	9606.ENSP00000296930	0	0	0	0	0.064	0	0	0.697	0.704
ABL1	RUNX1	9606.ENSP00000361423	9606.ENSP00000300305	0	0	0	0	0.042	0	0.400	0.793	0.871
ABL1	CRK	9606.ENSP00000361423	9606.ENSP00000300574	0	0	0	0.583	0.056	0.986	0.900	0.953	0.999
ABL1	HSPA4	9606.ENSP00000361423	9606.ENSP00000302961	0	0	0	0	0	0.537	0	0.425	0.722
ABL1	BCR	9606.ENSP00000361423	9606.ENSP00000303507	0	0	0	0	0.083	0.737	0.900	0.869	0.996
ABL1	RAC3	9606.ENSP00000361423	9606.ENSP00000304283	0	0	0	0	0.116	0.110	0.900	0.093	0.919
ABL1	RIN1	9606.ENSP00000361423	9606.ENSP00000310406	0	0	0	0	0	0.808	0.900	0.865	0.997
ABL1	PRKDC	9606.ENSP00000361423	9606.ENSP00000313420	0	0	0	0	0.048	0.315	0	0.721	0.802
ABL1	MRE11	9606.ENSP00000361423	9606.ENSP00000325863	0	0	0	0	0	0.045	0.500	0.483	0.731
ABL1	SHC4	9606.ENSP00000361423	9606.ENSP00000329668	0	0	0	0.553	0	0.073	0.900	0.059	0.905
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0.080	0.788	0	0.922	0.983
ABL1	STAT5A	9606.ENSP00000361423	9606.ENSP00000341208	0	0	0	0	0.088	0.332	0.900	0.724	0.980
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0.049	0.887	0.900	0.855	0.998
ABL1	FYN	9606.ENSP00000361423	9606.ENSP00000346671	0	0	0.075	0.876	0.083	0.136	0.900	0.422	0.949
ABL1	FN1	9606.ENSP00000361423	9606.ENSP00000346839	0	0	0	0	0.078	0.900	0	0.634	0.963
ABL1	EPHA2	9606.ENSP00000361423	9606.ENSP00000351209	0	0	0	0.619	0.125	0	0.900	0.487	0.951
ABL1	RAD52	9606.ENSP00000361423	9606.ENSP00000351284	0	0	0	0	0.042	0.050	0.750	0.311	0.822
ABL1	XRCC6	9606.ENSP00000361423	9606.ENSP00000352257	0	0	0	0	0	0.398	0	0.623	0.763
ABL1	NTRK3	9606.ENSP00000361423	9606.ENSP00000354207	0	0	0	0.629	0	0	0.900	0.192	0.915
ABL1	GAB2	9606.ENSP00000361423	9606.ENSP00000354952	0	0	0	0	0.063	0	0	0.852	0.855
ABL1	BECN1	9606.ENSP00000361423	9606.ENSP00000355231	0	0	0	0	0	0.051	0	0.872	0.873
ABL1	PARP1	9606.ENSP00000361423	9606.ENSP00000355759	0	0	0	0	0.047	0.292	0	0.713	0.789
ABL1	MCL1	9606.ENSP00000361423	9606.ENSP00000358022	0	0	0	0	0.086	0	0	0.741	0.753
ABL1	NRAS	9606.ENSP00000361423	9606.ENSP00000358548	0	0	0	0	0.081	0.110	0	0.667	0.704
ABL1	JUN	9606.ENSP00000361423	9606.ENSP00000360266	0	0	0	0	0.049	0.532	0	0.554	0.784
ABL1	RUNX2	9606.ENSP00000361423	9606.ENSP00000360493	0	0	0	0	0	0	0.750	0.322	0.823
ABL1	HSP90AB1	9606.ENSP00000361423	9606.ENSP00000360609	0	0	0	0	0.091	0.224	0	0.909	0.930
ABL1	RAPGEF1	9606.ENSP00000361423	9606.ENSP00000361264	0	0	0	0	0.150	0.389	0	0.603	0.776
