#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	CCND1	9606.ENSP00000361423	9606.ENSP00000227507	0	0	0	0	0.067	0	0.400	0.577	0.742
ABL1	CDKN1B	9606.ENSP00000361423	9606.ENSP00000228872	0	0	0	0	0.086	0.296	0.400	0.420	0.746
ABL1	KRAS	9606.ENSP00000361423	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0	0.669	0.703
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0.097	0.098	0.400	0.511	0.729
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0	0	0	0	0.628	0	0.732	0.896
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.049	0.736	0.900	0.312	0.980
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.591	0.049	0.615	0	0.325	0.731
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.820	0.750	0.774	0.988
ABL1	PRKDC	9606.ENSP00000361423	9606.ENSP00000313420	0	0	0	0	0.048	0.315	0	0.721	0.802
ABL1	SHC4	9606.ENSP00000361423	9606.ENSP00000329668	0	0	0	0.553	0	0.073	0.900	0.059	0.905
ABL1	PARP1	9606.ENSP00000361423	9606.ENSP00000355759	0	0	0	0	0.047	0.292	0	0.713	0.789
ABL1	CDKN2A	9606.ENSP00000361423	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.749	0.763
ABL1	HRAS	9606.ENSP00000361423	9606.ENSP00000407586	0	0	0	0	0.081	0.110	0	0.755	0.782
ABL1	MYC	9606.ENSP00000361423	9606.ENSP00000478887	0	0	0	0	0.087	0.045	0	0.774	0.785
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.551	0.062	0.793	0	0.203	0.832
ABL1	CDKN1A	9606.ENSP00000361423	9606.ENSP00000384849	0	0	0	0	0.105	0.296	0.400	0.716	0.878
ABL1	BRCA1	9606.ENSP00000361423	9606.ENSP00000418960	0	0	0	0	0	0.483	0.500	0.847	0.956
ABRAXAS1	NBN	9606.ENSP00000369857	9606.ENSP00000265433	0	0	0	0	0	0	0.500	0.566	0.773
ABRAXAS1	ATM	9606.ENSP00000369857	9606.ENSP00000278616	0	0	0	0	0.058	0	0.500	0.582	0.785
ABRAXAS1	BRCA2	9606.ENSP00000369857	9606.ENSP00000369497	0	0	0	0	0.048	0	0	0.754	0.755
ABRAXAS1	H2AX	9606.ENSP00000369857	9606.ENSP00000434024	0	0	0	0	0	0	0.500	0.574	0.777
ABRAXAS1	BRCA1	9606.ENSP00000369857	9606.ENSP00000418960	0	0	0	0	0.056	0.994	0.900	0.997	0.999
AR	CCND1	9606.ENSP00000363822	9606.ENSP00000227507	0	0	0	0	0.072	0.738	0	0.831	0.955
AR	MDM2	9606.ENSP00000363822	9606.ENSP00000258149	0	0	0	0	0	0.920	0	0.979	0.998
AR	RB1	9606.ENSP00000363822	9606.ENSP00000267163	0	0	0	0	0	0.629	0.500	0.397	0.878
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.439	0	0.838	0.905
AR	ERBB2	9606.ENSP00000363822	9606.ENSP00000269571	0	0	0	0	0.058	0.092	0	0.772	0.788
AR	EGFR	9606.ENSP00000363822	9606.ENSP00000275493	0	0	0	0	0	0.536	0	0.720	0.864
AR	PGR	9606.ENSP00000363822	9606.ENSP00000325120	0	0	0	0.806	0.124	0	0.500	0.509	0.766
AR	E2F1	9606.ENSP00000363822	9606.ENSP00000345571	0	0	0	0	0	0.292	0	0.730	0.801
AR	PTEN	9606.ENSP00000363822	9606.ENSP00000361021	0	0	0	0	0	0.295	0	0.853	0.892
AR	MYC	9606.ENSP00000363822	9606.ENSP00000478887	0	0	0	0	0.053	0.045	0	0.695	0.700
AR	BRCA1	9606.ENSP00000363822	9606.ENSP00000418960	0	0	0	0	0	0.612	0	0.773	0.908
AR	ESR1	9606.ENSP00000363822	9606.ENSP00000405330	0	0	0	0.651	0.172	0	0	0.978	0.981
ARID1A	CCND1	9606.ENSP00000320485	9606.ENSP00000227507	0	0	0	0	0.076	0	0.500	0.507	0.752
ARID1A	MSH2	9606.ENSP00000320485	9606.ENSP00000233146	0	0	0	0	0.181	0	0	0.970	0.974
ARID1A	KRAS	9606.ENSP00000320485	9606.ENSP00000256078	0	0	0	0	0.049	0.068	0	0.869	0.873
ARID1A	CDK4	9606.ENSP00000320485	9606.ENSP00000257904	0	0	0	0	0.044	0	0.500	0.448	0.713
ARID1A	PIK3CA	9606.ENSP00000320485	9606.ENSP00000263967	0	0	0	0	0.067	0	0	0.911	0.913
ARID1A	RB1	9606.ENSP00000320485	9606.ENSP00000267163	0	0	0	0	0.044	0	0.720	0.265	0.786
ARID1A	TP53	9606.ENSP00000320485	9606.ENSP00000269305	0	0	0	0	0.067	0.292	0	0.945	0.961
ARID1A	CDKN2A	9606.ENSP00000320485	9606.ENSP00000418915	0	0	0	0	0	0	0	0.720	0.720
ARID1A	PTEN	9606.ENSP00000320485	9606.ENSP00000361021	0	0	0	0	0.057	0.073	0	0.729	0.743
ARID1A	PGR	9606.ENSP00000320485	9606.ENSP00000325120	0	0	0	0	0	0.317	0	0.652	0.752
ARID1A	BRCA1	9606.ENSP00000320485	9606.ENSP00000418960	0	0	0	0	0.049	0.439	0	0.657	0.801
ATM	CDKN1B	9606.ENSP00000278616	9606.ENSP00000228872	0	0	0	0	0.070	0	0	0.704	0.713
ATM	MLH1	9606.ENSP00000278616	9606.ENSP00000231790	0	0	0	0	0.055	0.287	0.540	0.991	0.997
ATM	MSH2	9606.ENSP00000278616	9606.ENSP00000233146	0	0	0	0	0.066	0.324	0.900	0.994	0.999
ATM	KRAS	9606.ENSP00000278616	9606.ENSP00000256078	0	0	0	0	0.063	0.071	0	0.702	0.718
